date,geography,geography code,Age of arrival in the UK: Total: All usual residents; measures: Value,Age of arrival in the UK: Born in the UK; measures: Value,Age of arrival in the UK: Arrived in the UK; measures: Value,Age of arrival in the UK: Arrived in the UK: Aged 0 to 4 years; measures: Value,Age of arrival in the UK: Arrived in the UK: Aged 5 to 7 years; measures: Value,Age of arrival in the UK: Arrived in the UK: Aged 8 to 9 years; measures: Value,Age of arrival in the UK: Arrived in the UK: Aged 10 to 14 years; measures: Value,Age of arrival in the UK: Arrived in the UK: Aged 15 years; measures: Value,Age of arrival in the UK: Arrived in the UK: Aged 16 to 17 years; measures: Value,Age of arrival in the UK: Arrived in the UK: Aged 18 to 19 years; measures: Value,Age of arrival in the UK: Arrived in the UK: Aged 20 to 24 years; measures: Value,Age of arrival in the UK: Arrived in the UK: Aged 25 to 29 years; measures: Value,Age of arrival in the UK: Arrived in the UK: Aged 30 to 44 years; measures: Value,Age of arrival in the UK: Arrived in the UK: Aged 45 to 59 years; measures: Value,Age of arrival in the UK: Arrived in the UK: Aged 60 to 64 years; measures: Value,Age of arrival in the UK: Arrived in the UK: Aged 65 to 74 years; measures: Value,Age of arrival in the UK: Arrived in the UK: Aged 75 to 84 years; measures: Value,Age of arrival in the UK: Arrived in the UK: Aged 85 to 89 years; measures: Value,Age of arrival in the UK: Arrived in the UK: Aged 90 years and over; measures: Value
2021,Bolton 001A,E01004768,1596,1530,66,14,4,4,4,4,3,3,14,7,7,2,0,0,0,0,0
2021,Bolton 001B,E01004803,1620,1559,61,8,2,3,1,1,12,3,11,7,13,0,0,0,0,0,0
2021,Bolton 001C,E01004804,1468,1423,45,9,6,0,5,0,3,1,11,3,7,0,0,0,0,0,0
2021,Bolton 001D,E01004807,1380,1332,48,11,3,2,4,0,2,3,6,7,9,1,0,0,0,0,0
2021,Bolton 001E,E01004808,1620,1568,52,11,3,1,3,1,3,4,6,7,7,2,1,0,3,0,0
2021,Bolton 002A,E01004788,1358,1314,44,7,6,1,5,0,1,2,14,4,4,0,0,0,0,0,0
2021,Bolton 002B,E01004790,1418,1356,62,12,5,1,4,1,0,12,11,7,8,1,0,0,0,0,0
2021,Bolton 002C,E01004805,1566,1520,46,7,3,1,3,4,2,2,12,2,8,1,0,1,0,0,0
2021,Bolton 002D,E01004806,1516,1479,37,3,2,1,4,0,3,5,7,3,7,2,0,0,0,0,0
2021,Bolton 002E,E01004810,1558,1503,55,11,2,1,4,0,3,6,9,5,10,0,2,2,0,0,0
2021,Bolton 003A,E01004769,1499,1412,87,24,3,2,10,1,1,4,12,10,11,7,2,0,0,0,0
2021,Bolton 003B,E01004770,1524,1379,145,19,13,6,12,1,4,12,33,15,21,6,2,0,1,0,0
2021,Bolton 003C,E01004771,1686,1586,100,13,1,4,16,2,7,12,17,9,14,4,0,0,1,0,0
2021,Bolton 003D,E01004773,1964,1734,230,38,8,7,19,6,13,15,53,36,28,2,1,3,1,0,0
2021,Bolton 003E,E01004809,1723,1671,52,13,0,4,1,1,4,2,7,9,7,3,1,0,0,0,0
2021,Bolton 004A,E01004777,1725,1639,86,18,3,4,7,2,5,6,8,11,21,1,0,0,0,0,0
2021,Bolton 004B,E01004881,1483,1426,57,11,3,1,4,1,1,5,4,9,10,8,0,0,0,0,0
2021,Bolton 004C,E01004888,1284,1230,54,9,3,0,4,2,3,2,6,6,13,3,2,1,0,0,0
2021,Bolton 004D,E01004889,1432,1372,60,11,4,3,6,2,1,6,6,8,11,2,0,0,0,0,0
2021,Bolton 004E,E01004890,1386,1306,80,15,5,2,3,1,2,6,21,4,17,4,0,0,0,0,0
2021,Bolton 005A,E01004766,1661,1453,208,21,13,4,19,1,12,16,27,39,45,7,1,3,0,0,0
2021,Bolton 005B,E01004767,1889,1553,336,33,22,12,29,7,22,24,66,43,62,10,3,3,0,0,0
2021,Bolton 005C,E01004772,1843,1624,219,45,17,4,20,0,9,7,36,30,41,9,1,0,0,0,0
2021,Bolton 005D,E01004774,1763,1599,164,19,9,9,13,4,7,18,31,16,27,10,1,0,0,0,0
2021,Bolton 005E,E01004824,1881,1173,708,62,43,29,70,21,50,77,174,75,78,26,1,1,0,1,0
